DATE,Month,Year,building_permits,const_price_index,delinquency_rate,GDP,house_for_sale_or_sold,housing_subsidies,income,interest_rate,mortgage_rate,construction_unit,total_houses,total_const_spending,unemployment_rate,urban_population,home_price_index
01-02-2022,Feb,2022,1817,343.583,2.09,21738.871,71,48.021,16092.7,0.08,3.7625,1371,131202,2.1,3.8,83.084,291.09
01-03-2022,Mar,2022,1877,345.852,2.09,21738.871,68,48.021,16028.1,0.2,4.172,1356,131202,1.9,3.6,83.084,296.353
01-04-2022,Apr,2022,1795,343.786,1.96,21708.16,56,48.021,16042.6,0.33,4.9825,1361,131202,1.7,3.6,83.084,300.55
01-05-2022,May,2022,1708,353.015,1.96,21708.16,58,48.021,16023.2,0.77,5.23,1446,131202,0.4,3.6,83.084,303.796
01-06-2022,Jun,2022,1701,349.8,1.96,21708.16,48,48.021,15963.4,1.21,5.522,1392,131202,-1.4,3.6,83.084,304.755
01-07-2022,Jul,2022,1658,346.79,1.85,21851.134,44,48.021,16109.3,1.68,5.4125,1396,131202,-2.7,3.5,83.084,303.714
01-08-2022,Aug,2022,1586,342.753,1.85,21851.134,51,48.021,16161.4,2.33,5.2225,1355,131202,-2.4,3.7,83.084,301.596
01-09-2022,Sep,2022,1588,336.464,1.85,21851.134,44,48.021,16184.9,2.56,6.112,1438,131202,-1.8,3.5,83.084,299.38
01-10-2022,Oct,2022,1555,333.796,1.78,21989.981,43,48.021,16223.5,3.08,6.9,1348,131202,-1.5,3.7,83.084,298.922
01-11-2022,Nov,2022,1402,330.369,1.78,21989.981,41,48.021,16229.6,3.78,6.805,1543,131202,-1.4,3.6,83.084,298.312
01-12-2022,Dec,2022,1409,326.449,1.78,21989.981,47,48.021,16265.1,4.1,6.364,1390,131202,-1.3,3.5,83.084,297.471
